```json
[
  {
    "author": "Hiroyuki Yamaguchi, Kazushige Wakuda",
    "year": "2021",
    "institution": "Nagasaki University Graduate School of Biomedical Sciences; Shizuoka Cancer Center Hospital; and multiple other institutions in Japan",
    "name": "A Phase II Study of Osimertinib for Radiotherapy-Naive Central Nervous System Metastasis From NSCLC: Results for the T790M Cohort of the OCEAN Study (LOGIK1603/WJOG9116L)",
    "case_number": "40",
    "language": "English",
    "phase": "IV (73%), Postoperative (28%)",
    "diagnosis": "NSCLC, adenocarcinoma, with sensitizing EGFR mutation (exon 19 deletion or exon 21 L858R) and T790M mutation, with RT-naive CNS metastasis",
    "sex": "Male: 12 (30%), Female: 28 (70%)",
    "age": "Median: 69 years, Range: 41-84 years",
    "weight": "null",
    "height": "null",
    "smoking_history": "Current or former: 13 (33%), Never: 27 (68%)",
    "heart_disease": "null",
    "ICI_treatment_history": "null",
    "target_treatment_history": "All patients had been treated with EGFR TKIs (gefitinib: 25, erlotinib: 17, afatinib: eight)",
    "operation_treatment_history": "Postoperative: 11 (28%)",
    "chemistry_treatment_history": "15 patients had also been treated with cytotoxic agents or bevacizumab",
    "radiotherapy_treatment_history": "RT-naive for brain metastasis (exclusion criterion: previous RT for brain metastasis)",
    "PD-1/PD-L1_expression": "null",
    "ICI_name": "Osimertinib",
    "ICI_dosage": "80 mg once daily",
    "ICI_use_date": "Between December 27, 2016, and July 4, 2019 (enrollment period)",
    "ICI_treatment_line": "Not first-line (all patients had progression after previous EGFR TKI therapy)",
    "combination_or_not": "Yes",
    "combination_drug": "null",
    "irAE_type": "Treatment-related pneumonitis",
    "irAE_date": "null",
    "irAE_date_2": "null",
    "irAE_degree": "Grade 2: 3 patients (8%), Grade 3: 1 patient (3%)",
    "irAE_Symptoms": "null",
    "ECG_start": "null",
    "NT-proBNP_value": "null",
    "CTNI_value": "null",
    "CK-MB_value": "null",
    "irAE_decrease_or_stop": "Dose reduction to 40 mg occurred in 3 patients (8%) due to QTc prolongation (>500 msec), itching, and physician decision. Treatment was discontinued due to adverse events in 6 patients (15%).",
    "irAE_change_drug": "null",
    "jisu_use": "null",
    "jisu_type": "null",
    "jisu_ dosage": "null",
    "jisu_regime": "null",
    "Symptoms_after_jisu_treatment": "null",
    "ECG_after_jisu_treatment": "null",
    "NT-proBNP_value_after_treatment": "null",
    "TNI_value_after_treatment": "null",
    "CK-MB_value_after_treatment": "null",
    "Second_line_yzj_nor_not": "null",
    "Second_line_yzj_type": "null",
    "Second_line_yzj_treatment_date": "null",
    "Second_line_yzj_dosage": "null",
    "Symptoms_after_yzj_treatment": "null",
    "ECG_after_yzj_treatment": "null",
    "NT-proBNP_value_after_yzj_treatment": "null",
    "TNI_value_after_yzj_treatment": "null",
    "CK-MB_value_after_yzj_treatment": "null",
    "irAE_outcome": "No treatment-related deaths reported.",
    "cytokine_check": "null",
    "IL_date": "null"
  }
]
```
